========== 2022-12-21 03:05:40.187727 ==========
time: 2022-12-21 03:07:38.081771; move number: 15; depth: 23; wait time: 6; opponent step: d1c2; bot step: c4a3; click1: [x=765, y=1206]; click2: [x=1035, y=1071]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6', 'a4c4', 'd8c7', 'h2h4', 'e7e5', 'f3d2', 'e5d4', 'd2b3', 'd4c3', 'g2g4', 'd7e5', 'h1h2', 'e5c4', 'f1h3', 'c7h2', 'h4h5', 'f6e4', 'e1d1', 'c3b2', 'f2f3', 'h2d6', 'd1c2', 'c4a3']
time: 2022-12-21 03:07:41.758318; move number: 16; depth: 23; wait time: 6; opponent step: c2b2; bot step: d6f6; click1: [x=630, y=1476]; click2: [x=360, y=1476]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6', 'a4c4', 'd8c7', 'h2h4', 'e7e5', 'f3d2', 'e5d4', 'd2b3', 'd4c3', 'g2g4', 'd7e5', 'h1h2', 'e5c4', 'f1h3', 'c7h2', 'h4h5', 'f6e4', 'e1d1', 'c3b2', 'f2f3', 'h2d6', 'd1c2', 'c4a3', 'c2b2', 'd6f6']
time: 2022-12-21 03:07:45.438626; move number: 17; depth: 23; wait time: 6; opponent step: b3d4; bot step: f6d4; click1: [x=360, y=1476]; click2: [x=630, y=1206]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6', 'a4c4', 'd8c7', 'h2h4', 'e7e5', 'f3d2', 'e5d4', 'd2b3', 'd4c3', 'g2g4', 'd7e5', 'h1h2', 'e5c4', 'f1h3', 'c7h2', 'h4h5', 'f6e4', 'e1d1', 'c3b2', 'f2f3', 'h2d6', 'd1c2', 'c4a3', 'c2b2', 'd6f6', 'b3d4', 'f6d4']
time: 2022-12-21 03:07:49.150304; move number: 18; depth: 23; wait time: 6; opponent step: b2b3; bot step: c8e6; click1: [x=765, y=1746]; click2: [x=495, y=1476]; moves: ['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6', 'd1a4', 'b8d7', 'b1c3', 'c7c6', 'a4c4', 'd8c7', 'h2h4', 'e7e5', 'f3d2', 'e5d4', 'd2b3', 'd4c3', 'g2g4', 'd7e5', 'h1h2', 'e5c4', 'f1h3', 'c7h2', 'h4h5', 'f6e4', 'e1d1', 'c3b2', 'f2f3', 'h2d6', 'd1c2', 'c4a3', 'c2b2', 'd6f6', 'b3d4', 'f6d4', 'b2b3', 'c8e6']
ERROR: Cannot make move: e1g1========== 2022-12-21 20:35:29.928533 ==========
time: 2022-12-21 20:35:46.415358; move number: 0; depth: 23; wait time: 6; opponent step: b8c6; bot step: d2d4; click1: [x=495, y=1611]; click2: [x=495, y=1341]; moves: ['e2e4', 'b8c6', 'd2d4']
time: 2022-12-21 20:36:03.322595; move number: 1; depth: 23; wait time: 6; opponent step: e7e5; bot step: d4d5; click1: [x=495, y=1341]; click2: [x=495, y=1206]; moves: ['e2e4', 'b8c6', 'd2d4', 'e7e5', 'd4d5']
time: 2022-12-21 20:36:13.485742; move number: 2; depth: 23; wait time: 6; opponent step: c6b4; bot step: c1e3; click1: [x=360, y=1746]; click2: [x=630, y=1476]; moves: ['e2e4', 'b8c6', 'd2d4', 'e7e5', 'd4d5', 'c6b4', 'c1e3']
time: 2022-12-21 20:36:20.743383; move number: 3; depth: 23; wait time: 6; opponent step: g8f6; bot step: f2f3; click1: [x=765, y=1611]; click2: [x=765, y=1476]; moves: ['e2e4', 'b8c6', 'd2d4', 'e7e5', 'd4d5', 'c6b4', 'c1e3', 'g8f6', 'f2f3']
time: 2022-12-21 20:36:30.752358; move number: 4; depth: 23; wait time: 6; opponent step: b7b6; bot step: b1c3; click1: [x=225, y=1746]; click2: [x=360, y=1476]; moves: ['e2e4', 'b8c6', 'd2d4', 'e7e5', 'd4d5', 'c6b4', 'c1e3', 'g8f6', 'f2f3', 'b7b6', 'b1c3']
time: 2022-12-21 20:36:47.780620; move number: 5; depth: 23; wait time: 6; opponent step: c8b7; bot step: a2a3; click1: [x=90, y=1611]; click2: [x=90, y=1476]; moves: ['e2e4', 'b8c6', 'd2d4', 'e7e5', 'd4d5', 'c6b4', 'c1e3', 'g8f6', 'f2f3', 'b7b6', 'b1c3', 'c8b7', 'a2a3']
time: 2022-12-21 20:37:21.068396; move number: 6; depth: 23; wait time: 6; opponent step: b4a6; bot step: d1d2; click1: [x=495, y=1746]; click2: [x=495, y=1611]; moves: ['e2e4', 'b8c6', 'd2d4', 'e7e5', 'd4d5', 'c6b4', 'c1e3', 'g8f6', 'f2f3', 'b7b6', 'b1c3', 'c8b7', 'a2a3', 'b4a6', 'd1d2']
time: 2022-12-21 20:37:41.685377; move number: 7; depth: 23; wait time: 6; opponent step: c7c6; bot step: d5d6; click1: [x=495, y=1206]; click2: [x=495, y=1071]; moves: ['e2e4', 'b8c6', 'd2d4', 'e7e5', 'd4d5', 'c6b4', 'c1e3', 'g8f6', 'f2f3', 'b7b6', 'b1c3', 'c8b7', 'a2a3', 'b4a6', 'd1d2', 'c7c6', 'd5d6']
time: 2022-12-21 20:38:02.107911; move number: 8; depth: 23; wait time: 6; opponent step: d8b8; bot step: e1c1; click1: [x=630, y=1746]; click2: [x=360, y=1746]; moves: ['e2e4', 'b8c6', 'd2d4', 'e7e5', 'd4d5', 'c6b4', 'c1e3', 'g8f6', 'f2f3', 'b7b6', 'b1c3', 'c8b7', 'a2a3', 'b4a6', 'd1d2', 'c7c6', 'd5d6', 'd8b8', 'e1c1']
ERROR: local variable 'start_pos' referenced before assignment
